Time,Initial Cost,Minimized Cost,Error Rate
MAX_ITERS,100
#ANTS,10
DECAY,0.4
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.24249,31166.0,8175.0,8.3590
6.25563,28970.0,8648.0,14.6286
6.27347,28735.0,8119.0,7.6167
6.24244,29840.0,8051.0,6.7154
6.25326,32307.0,8098.0,7.3384
6.23769,31600.0,8362.0,10.8377
6.25853,29184.0,8206.0,8.7699
6.27150,28242.0,8834.0,17.0940
6.27554,31008.0,8502.0,12.6934
6.35372,32616.0,8418.0,11.5800
6.27871,28246.0,8126.0,7.7095
6.27030,28890.0,8191.0,8.5711
6.26936,27195.0,8428.0,11.7125
8.19352,29723.0,8491.0,12.5476
6.39404,28315.0,8402.0,11.3679
6.25774,28362.0,8440.0,11.8716
6.26687,28590.0,8160.0,8.1602
6.27757,26573.0,8414.0,11.5269
6.45848,30110.0,7975.0,5.7080
6.36161,29339.0,8573.0,13.6345
AVG TIME,6.3846235
MIN_COST,7975.0
AVG_COST,8330.65
MIN_ERR ,5.708
AVG_ERR ,10.422145
MAX_ITERS,100
#ANTS,10
DECAY,0.6
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.24508,30992.0,8363.0,10.8509
6.26155,28550.0,8179.0,8.4120
6.23101,29388.0,8297.0,9.9761
6.23806,30926.0,8453.0,12.0439
6.26911,32193.0,8246.0,9.3001
6.26727,31825.0,8388.0,11.1823
6.24400,30711.0,8051.0,6.7154
6.24504,34027.0,8555.0,13.3959
6.25223,28773.0,8503.0,12.7066
6.25345,28762.0,8319.0,10.2677
6.23592,30934.0,7935.0,5.1778
6.28448,28510.0,8187.0,8.5181
6.26328,29014.0,7911.0,4.8597
6.26325,28480.0,8380.0,11.0763
6.24387,30554.0,8758.0,16.0866
6.25890,30191.0,8655.0,14.7214
6.27090,28338.0,8181.0,8.4385
6.26035,31321.0,8335.0,10.4798
6.21647,27874.0,7926.0,5.0585
6.25910,29769.0,8454.0,12.0571
AVG TIME,6.253165999999999
MIN_COST,7911.0
AVG_COST,8303.8
MIN_ERR ,4.8597
AVG_ERR ,10.066235
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,0.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.26534,28231.0,8681.0,15.0660
6.24666,29239.0,8083.0,7.1396
6.23248,31315.0,8635.0,14.4563
6.23927,31533.0,8153.0,8.0674
6.23811,32085.0,8545.0,13.2633
6.24816,29916.0,8330.0,10.4135
6.25688,29329.0,8374.0,10.9967
6.27511,30221.0,8568.0,13.5682
6.23331,29120.0,8255.0,9.4194
6.24522,30193.0,8354.0,10.7316
6.26701,32236.0,8056.0,6.7817
6.25721,31049.0,8366.0,10.8907
6.24136,30458.0,8036.0,6.5166
6.24773,27009.0,8181.0,8.4385
6.25858,29238.0,8246.0,9.3001
6.27766,25769.0,8428.0,11.7125
6.35502,28503.0,8651.0,14.6684
6.32148,30435.0,8335.0,10.4798
6.27570,32607.0,8485.0,12.4680
6.28510,28627.0,8392.0,11.2353
AVG TIME,6.2633695
MIN_COST,8036.0
AVG_COST,8357.7
MIN_ERR ,6.5166
AVG_ERR ,10.780680000000002
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,1.0
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.26041,29387.0,8735.0,15.7818
6.26732,29008.0,8245.0,9.2869
6.24475,33239.0,8337.0,10.5063
6.26049,28596.0,8656.0,14.7346
6.22945,27830.0,8206.0,8.7699
6.23589,29463.0,8167.0,8.2530
6.25352,29225.0,8819.0,16.8952
6.25078,27781.0,8340.0,10.5461
6.23212,30891.0,8043.0,6.6094
6.23700,29877.0,8419.0,11.5932
6.25620,29926.0,8398.0,11.3149
6.25432,29939.0,8334.0,10.4665
6.24513,29797.0,8115.0,7.5637
6.26633,29003.0,8545.0,13.2633
6.25641,31901.0,7981.0,5.7876
6.24796,31315.0,8317.0,10.2412
6.24176,26723.0,8366.0,10.8907
6.27287,27333.0,8162.0,8.1867
6.23787,32132.0,8466.0,12.2162
6.22334,30886.0,8721.0,15.5962
AVG TIME,6.248696000000001
MIN_COST,7981.0
AVG_COST,8368.6
MIN_ERR ,5.7876
AVG_ERR ,10.92517
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.0
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.22630,28622.0,8657.0,14.7479
6.24138,28722.0,8227.0,9.0483
6.23517,30355.0,8202.0,8.7169
6.24797,29823.0,7912.0,4.8730
6.23017,29006.0,7967.0,5.6020
6.28940,31469.0,8339.0,10.5328
6.24932,29103.0,8455.0,12.0704
6.26404,30235.0,8226.0,9.0350
6.23981,31638.0,8352.0,10.7051
6.22985,32114.0,8489.0,12.5211
6.24132,30970.0,8339.0,10.5328
6.24300,27865.0,8417.0,11.5667
6.30047,29940.0,8244.0,9.2736
6.27594,30616.0,8503.0,12.7066
6.24835,26943.0,8461.0,12.1499
6.28336,29119.0,7922.0,5.0055
6.27792,29130.0,8200.0,8.6904
6.26746,30558.0,8161.0,8.1734
6.23828,31041.0,8368.0,10.9172
6.27459,28582.0,8163.0,8.1999
AVG TIME,6.255205
MIN_COST,7912.0
AVG_COST,8280.2
MIN_ERR ,4.873
AVG_ERR ,9.753425000000002
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,3.0
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.24760,29865.0,8004.0,6.0924
6.26663,30860.0,8149.0,8.0144
6.25537,31038.0,8540.0,13.1971
6.25936,28229.0,8485.0,12.4680
6.33463,28754.0,8019.0,6.2912
6.25346,31549.0,8352.0,10.7051
6.26962,32334.0,8688.0,15.1588
6.28343,28806.0,8262.0,9.5122
6.25608,29264.0,8262.0,9.5122
6.24854,31914.0,8262.0,9.5122
6.24913,27992.0,7859.0,4.1705
6.26312,32516.0,8612.0,14.1514
6.26322,31790.0,8521.0,12.9452
6.25629,29192.0,8325.0,10.3472
6.24460,32645.0,8035.0,6.5033
6.27656,29494.0,8128.0,7.7360
6.24312,30551.0,7930.0,5.1116
6.25934,28964.0,8794.0,16.5638
6.25919,31394.0,8265.0,9.5520
6.23965,31742.0,8335.0,10.4798
AVG TIME,6.261447
MIN_COST,7859.0
AVG_COST,8291.35
MIN_ERR ,4.1705
AVG_ERR ,9.901219999999999
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,3.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.25432,31323.0,8380.0,11.0763
6.27079,30546.0,8219.0,8.9422
6.25359,28497.0,8663.0,14.8274
6.24548,31026.0,8415.0,11.5402
6.25147,31424.0,8557.0,13.4224
6.23679,28099.0,8225.0,9.0218
6.24036,29466.0,8282.0,9.7773
6.23388,29099.0,8373.0,10.9835
6.23984,31413.0,7985.0,5.8406
6.24091,29847.0,8655.0,14.7214
6.25066,29688.0,8633.0,14.4298
6.26506,28577.0,8863.0,17.4784
6.26373,29728.0,8159.0,8.1469
6.26616,29301.0,8804.0,16.6964
6.26552,30768.0,8148.0,8.0011
6.29877,32319.0,8036.0,6.5166
6.36020,30393.0,8414.0,11.5269
6.29350,29058.0,8522.0,12.9585
6.33953,33120.0,8783.0,16.4180
6.25769,30753.0,7772.0,3.0173
AVG TIME,6.2664124999999995
MIN_COST,7772.0
AVG_COST,8394.4
MIN_ERR ,3.0173
AVG_ERR ,11.267150000000003
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.23862,27562.0,8291.0,9.8966
6.24974,28763.0,8202.0,8.7169
6.24427,30678.0,8251.0,9.3664
6.22631,30303.0,8272.0,9.6447
6.22287,31701.0,8526.0,13.0115
6.25834,26879.0,7849.0,4.0379
6.21827,29917.0,8386.0,11.1558
6.22881,29820.0,7984.0,5.8273
6.24026,27494.0,8541.0,13.2103
6.23367,30070.0,8153.0,8.0674
6.24815,25782.0,8640.0,14.5225
6.25312,27239.0,8232.0,9.1145
6.44139,28793.0,8357.0,10.7714
6.66530,31643.0,8341.0,10.5593
6.29637,29483.0,8420.0,11.6065
6.27729,28700.0,8383.0,11.1160
6.27561,30904.0,8427.0,11.6992
6.26636,29617.0,8717.0,15.5432
6.24494,27157.0,8654.0,14.7081
6.23544,29063.0,8276.0,9.6978
AVG TIME,6.2782564999999995
MIN_COST,7849.0
AVG_COST,8345.1
MIN_ERR ,4.0379
AVG_ERR ,10.613665000000001
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.2
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.22785,27547.0,8096.0,7.3119
6.23095,28758.0,8452.0,12.0306
6.22391,30013.0,8610.0,14.1249
6.24453,28996.0,8206.0,8.7699
6.24081,30779.0,8271.0,9.6315
6.25685,33574.0,8893.0,17.8760
6.23062,30391.0,7907.0,4.8067
6.21515,31115.0,8332.0,10.4400
6.22177,27214.0,8273.0,9.6580
6.24060,31443.0,8092.0,7.2588
6.24548,29260.0,8136.0,7.8421
6.24960,31423.0,8347.0,10.6389
6.24740,29340.0,8161.0,8.1734
6.26347,27598.0,8276.0,9.6978
6.25169,30742.0,8092.0,7.2588
6.24334,31065.0,8167.0,8.2530
6.23530,31043.0,8271.0,9.6315
6.25289,30637.0,8302.0,10.0424
6.24569,31413.0,8260.0,9.4857
6.24559,31337.0,7889.0,4.5681
AVG TIME,6.240674499999999
MIN_COST,7889.0
AVG_COST,8251.65
MIN_ERR ,4.5681
AVG_ERR ,9.375000000000002
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.3
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.22950,28053.0,8376.0,11.0232
6.28588,30757.0,8491.0,12.5476
6.23572,29517.0,7945.0,5.3104
6.22652,30601.0,8501.0,12.6801
6.25227,30319.0,8325.0,10.3472
6.24113,27974.0,8379.0,11.0630
6.22449,29484.0,8370.0,10.9437
6.23772,30793.0,7593.0,0.6446
6.21214,30908.0,8333.0,10.4533
6.23176,29705.0,7935.0,5.1778
6.25174,28357.0,8324.0,10.3340
6.25476,28341.0,7795.0,3.3221
6.23862,28638.0,8182.0,8.4518
6.25967,28175.0,8073.0,7.0070
6.23176,32456.0,8570.0,13.5947
6.26133,27825.0,8027.0,6.3973
6.23722,29971.0,8093.0,7.2721
6.23943,27734.0,7969.0,5.6285
6.23902,28012.0,8517.0,12.8922
6.23608,28927.0,8031.0,6.4503
AVG TIME,6.241338
MIN_COST,7593.0
AVG_COST,8191.45
MIN_ERR ,0.6446
AVG_ERR ,8.577045000000002
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.4
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.30154,30140.0,8465.0,12.2029
6.23377,29551.0,8889.0,17.8230
6.23585,30975.0,8268.0,9.5917
6.26274,33192.0,7831.0,3.7993
6.23874,28776.0,8610.0,14.1249
6.25223,30118.0,8125.0,7.6963
6.22755,29983.0,8571.0,13.6080
6.23167,28723.0,8497.0,12.6271
6.22196,29592.0,8834.0,17.0940
6.23555,29865.0,8323.0,10.3207
6.23984,26864.0,8288.0,9.8568
6.23837,29016.0,8303.0,10.0556
6.22736,28108.0,8491.0,12.5476
6.23047,31340.0,8451.0,12.0174
6.24861,29121.0,7975.0,5.7080
6.24298,29971.0,7912.0,4.8730
6.24424,29216.0,8273.0,9.6580
6.27047,31088.0,8633.0,14.4298
6.24128,30624.0,8203.0,8.7301
6.24479,28411.0,8489.0,12.5211
AVG TIME,6.2435005000000015
MIN_COST,7831.0
AVG_COST,8371.55
MIN_ERR ,3.7993
AVG_ERR ,10.964264999999997
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.5
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.23452,27235.0,8055.0,6.7684
6.23958,26825.0,8498.0,12.6403
6.23484,30481.0,8854.0,17.3591
6.27179,29276.0,8007.0,6.1322
6.23097,30076.0,8345.0,10.6123
6.22429,30988.0,8477.0,12.3620
6.21644,27823.0,8582.0,13.7538
6.24245,28933.0,8240.0,9.2206
6.23332,28184.0,7968.0,5.6152
6.26002,30678.0,8793.0,16.5506
6.24279,29810.0,8275.0,9.6845
6.24700,32389.0,8418.0,11.5800
6.23789,28775.0,8417.0,11.5667
6.25346,27647.0,8176.0,8.3723
6.25112,28824.0,8511.0,12.8127
6.24401,26144.0,8389.0,11.1956
6.23754,32145.0,7867.0,4.2765
6.28726,30179.0,8452.0,12.0306
6.24289,30439.0,8737.0,15.8083
6.23601,27389.0,8331.0,10.4268
AVG TIME,6.2434095
MIN_COST,7867.0
AVG_COST,8369.6
MIN_ERR ,4.2765
AVG_ERR ,10.938425
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.6
C_HEUR,2.5
C_GREED,0.9
Time,Initial Cost,Minimized Cost,Error Rate
6.23917,29414.0,8251.0,9.3664
6.23327,28571.0,8547.0,13.2898
6.25415,27744.0,8536.0,13.1440
6.24029,30729.0,8532.0,13.0910
6.24701,28380.0,8899.0,17.9556
6.26557,30576.0,8382.0,11.1028
6.23760,27583.0,8315.0,10.2147
6.26206,31126.0,8840.0,17.1735
6.38441,31293.0,8714.0,15.5034
6.25027,30003.0,8839.0,17.1603
6.26945,27719.0,8402.0,11.3679
6.27827,30835.0,8171.0,8.3060
6.26376,28879.0,8710.0,15.4504
6.25924,29612.0,7910.0,4.8465
6.25308,28232.0,8293.0,9.9231
6.26211,29507.0,8468.0,12.2427
6.23343,31958.0,8164.0,8.2132
6.25134,31556.0,8489.0,12.5211
6.24365,29044.0,8245.0,9.2869
6.24981,28395.0,8546.0,13.2766
AVG TIME,6.258897
MIN_COST,7910.0
AVG_COST,8462.65
MIN_ERR ,4.8465
AVG_ERR ,12.171795
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,0.5
Time,Initial Cost,Minimized Cost,Error Rate
6.22602,28379.0,8222.0,8.9820
6.23747,31208.0,8128.0,7.7360
6.24338,32261.0,8186.0,8.5048
6.22711,30014.0,8208.0,8.7964
6.24533,25231.0,8181.0,8.4385
6.24789,30156.0,8361.0,10.8244
6.24217,29081.0,8253.0,9.3929
6.25598,30999.0,8036.0,6.5166
6.23697,28588.0,8499.0,12.6536
6.23899,27883.0,8393.0,11.2486
6.24245,29671.0,7857.0,4.1439
6.23980,29722.0,8569.0,13.5814
6.26119,27165.0,8144.0,7.9481
6.25714,28777.0,7937.0,5.2043
6.23558,30028.0,8175.0,8.3590
6.28180,32854.0,8554.0,13.3826
6.27850,25763.0,8269.0,9.6050
6.32228,28811.0,8761.0,16.1264
6.24306,29261.0,8499.0,12.6536
6.23406,29908.0,8113.0,7.5372
AVG TIME,6.2498585
MIN_COST,7857.0
AVG_COST,8267.25
MIN_ERR ,4.1439
AVG_ERR ,9.581765
MAX_ITERS,100
#ANTS,10
DECAY,0.1
C_LOCAL_PHER,0.1
C_HEUR,2.5
C_GREED,1.0
Time,Initial Cost,Minimized Cost,Error Rate
6.23748,26071.0,8475.0,12.3355
6.23506,25525.0,8357.0,10.7714
6.23924,28842.0,8531.0,13.0778
6.22916,32344.0,8523.0,12.9717
6.76482,29181.0,8107.0,7.4577
6.22383,28946.0,8143.0,7.9348
6.23441,29069.0,8120.0,7.6300
6.20952,32444.0,8083.0,7.1396
6.21399,26245.0,8543.0,13.2368
6.20444,28578.0,8189.0,8.5446
6.21099,28516.0,8212.0,8.8494
6.23241,31016.0,8726.0,15.6625
6.22946,33881.0,8141.0,7.9083
6.31450,29567.0,8613.0,14.1647
6.37980,29117.0,8663.0,14.8274
6.29788,28632.0,8130.0,7.7625
6.41003,31772.0,8210.0,8.8229
